
WATCH THE HIVEMIND HERE: http://www.twitch.tv/angrydraco 

*** NOTE ***

This is a snap shot for the hour before Anarchy was restored. All names
listed may or may not be human, they are everyone who contributed inputs
for the past hour. At point of interest I took this snap to help others
identify and witness the clone bots motives.

EDIT: Typos.

*** END NOTE **

-- FULL LIST AUTOMATICALLY GENERATED FROM HIVEMIND -- 
Names listed are those ACTIVE for the past 20 minutes as of (16D 20H - Suspect Snapshot) - UTC: 21:26:09.668

CORE VERSIONING - playerData: b130 DEV | dataPacket: b120 DEV | dataCounts: b130 DEV | Analysis is now implemented as playerData.fastAnalyze<Troll|Bot>() | 

-- INPUT COUNTS ARE FROM THE PAST HOUR -- 

OF THE 1178 USERS... 1129 HAVE AT LEAST 1 INPUTS

IN	Θ60	Θ15	Θ2	LEFT	RIGHT	UP	DOWN	A	B	St	Sel	L	R	Wait	Demo	Anarch	Riot	Chat	Yes	No	σ	(σ-μ)	μT	σT	USERNAME
54	2	3	0	2.0	15.0	37.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	9.2	6.0	25.6	74.6	b2odkl7r
54	1	0	0	2.0	16.0	36.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	9.0	5.8	26.2	75.4	ejywd8l44z
53	0	2	8	    	    	    	2.0	    	14.0	27.0	    	    	    	0	0	10	0	3	0	0	7.1	4.0	27.6	129.8	abrasivetruth
52	3	3	0	4.0	10.5	26.5	1.0	    	1.0	    	    	    	    	0	9	0	0	0	0	0	6.7	3.6	17.9	27.2	dragomanolo
52	0	0	5	    	    	1.0	3.0	    	    	2.0	    	    	    	0	3	43	0	2	0	1	10.0	6.9	16.5	29.3	duplexbegreat
52	1	3	0	2.0	14.0	36.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.9	5.8	25.8	75.9	cl8jio9
52	1	3	0	2.0	14.0	36.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.9	5.8	25.8	75.8	vmvl41f
51	0	2	7	2.0	14.0	35.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.7	5.7	25.6	75.8	gnmuklc
51	3	3	1	    	    	    	23.0	    	    	1.0	    	    	    	0	0	27	0	7	0	0	8.1	5.1	9.2	13.7	alucpanda
51	0	0	0	10.5	4.0	2.5	6.0	4.0	11.0	2.0	    	    	    	0	0	11	0	35	1	1	4.0	1.0	29.2	28.3	deraim
51	9	7	2	    	    	    	2.0	    	11.0	2.0	    	    	    	0	6	30	0	39	0	0	7.3	4.3	10.8	12.7	bexxxxxxx
51	0	3	1	2.0	13.0	36.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.8	5.8	26.2	75.9	fyzp06r
51	0	2	6	2.0	14.0	35.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.7	5.7	25.6	75.7	swpp6h
50	0	3	6	2.0	14.0	34.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.4	5.5	26.1	76.3	vz4hmzid
50	0	4	6	2.0	14.0	34.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.4	5.5	26.1	76.3	ywpxgw
50	0	5	0	    	    	    	    	    	1.0	1.0	    	    	    	0	0	48	0	18	0	0	11.3	8.4	21.4	75.4	noodlesaregood
50	4	4	0	    	    	    	    	    	    	    	    	    	    	0	0	50	0	0	0	0	11.8	8.9	8.6	15.9	relsre
50	0	3	0	2.0	13.0	35.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.6	5.7	26.8	77.1	nentitaug
49	2	2	6	2.0	13.0	34.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.4	5.5	15.2	13.5	ezus2s46um
49	3	3	7	2.0	13.0	34.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.4	5.5	15.2	13.6	eaqn3a
49	2	2	0	    	    	    	3.0	    	1.0	    	    	    	    	0	0	45	0	6	0	0	10.6	7.7	8.0	8.4	wiredwicky
48	1	3	0	2.0	14.0	32.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	8.0	5.2	27.9	78.6	lahobu6
