
WATCH THE HIVEMIND HERE: http://www.twitch.tv/angrydraco 

*** NOTE ***

This is a snap shot for the hour before Anarchy was restored. All names
listed may or may not be human, they are everyone who contributed inputs
for the past hour. At point of interest I took this snap to help others
identify and witness the clone bots motives.

EDIT: Typos.

*** END NOTE **

-- FULL LIST AUTOMATICALLY GENERATED FROM HIVEMIND -- 
Names listed are those ACTIVE for the past 20 minutes as of (16D 20H - Suspect Snapshot) - UTC: 21:26:09.668

CORE VERSIONING - playerData: b130 DEV | dataPacket: b120 DEV | dataCounts: b130 DEV | Analysis is now implemented as playerData.fastAnalyze<Troll|Bot>() | 

-- INPUT COUNTS ARE FROM THE PAST HOUR -- 

OF THE 1178 USERS... 1129 HAVE AT LEAST 1 INPUTS

IN	Θ60	Θ15	Θ2	LEFT	RIGHT	UP	DOWN	A	B	St	Sel	L	R	Wait	Demo	Anarch	Riot	Chat	Yes	No	σ	(σ-μ)	μT	σT	USERNAME
5	1	1	1	    	    	4.0	    	    	    	    	    	    	    	0	0	1	0	0	0	0	1.0	0.7	7.0	3.7	diarugacoasters
5	0	0	0	    	    	2.0	    	1.0	1.0	    	    	    	    	0	1	0	0	0	0	0	0.6	0.3	133.7	164.3	assassin_bean
5	1	1	1	    	    	    	    	    	    	    	    	    	    	0	0	5	0	4	0	0	1.2	0.9	34.4	15.9	innocentmon
5	0	0	0	    	    	    	    	    	    	2.0	    	    	    	0	1	2	0	2	0	0	0.7	0.4	104.7	88.4	tsundereallday
5	0	0	0	    	3.0	2.0	    	    	    	    	    	    	    	0	0	0	0	1	0	0	0.8	0.5	68.9	41.0	shawntyhall
5	0	0	0	    	    	    	1.0	    	1.0	    	    	    	    	0	0	3	0	1	0	0	0.7	0.4	91.1	132.3	kvector
4	0	0	0	    	    	    	2.5	    	1.5	    	    	    	    	0	0	0	0	1	0	0	0.7	0.5	49.0	60.9	revc99
4	0	0	0	1.0	    	2.0	    	1.0	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.3	34.2	25.4	zerudanodensetsu152
4	0	0	0	1.0	    	    	2.0	    	    	    	    	    	    	0	1	0	0	0	0	0	0.5	0.3	18.7	14.2	lokilolcats
4	0	0	0	    	    	1.0	0.5	    	0.5	    	    	    	    	0	0	2	0	1	0	0	0.5	0.3	92.6	84.7	br05kixtags
4	0	0	0	    	1.0	    	    	    	2.0	    	    	    	    	0	1	0	0	22	0	0	0.5	0.3	60.4	51.7	jag6000
4	0	0	0	    	    	    	    	    	    	1.0	    	    	    	0	0	3	0	0	0	0	0.7	0.5	41.3	24.5	godotblend102
4	0	0	0	    	    	2.0	    	    	    	1.0	    	    	    	0	0	1	0	0	0	0	0.5	0.3	188.0	168.5	pokiee
4	0	0	0	    	    	2.0	    	1.0	    	    	    	    	    	0	0	1	0	0	0	0	0.5	0.3	68.8	20.0	scottypimpin33
4	1	1	1	1.0	    	2.0	    	    	1.0	    	    	    	    	0	0	0	0	0	0	0	0.5	0.3	15.7	5.0	sqimran
4	0	0	0	    	    	    	    	1.0	1.0	    	    	    	    	0	2	0	0	0	0	0	0.5	0.3	252.0	179.8	maverickwolfzx
4	0	0	0	    	    	1.0	1.0	1.0	1.0	    	    	    	    	0	0	0	0	0	0	0	0.4	0.2	23.4	20.6	paka013
4	0	0	0	    	1.0	    	    	1.0	    	    	    	    	    	0	2	0	0	2	0	0	0.5	0.3	39.6	28.6	rollingwolfang77
4	0	0	0	    	    	1.0	    	3.0	    	    	    	    	    	0	0	0	0	25	0	0	0.7	0.5	79.5	129.5	mehcheniti
4	0	0	0	    	    	0.5	1.0	1.5	    	    	    	    	    	0	0	1	0	1	0	0	0.5	0.3	158.3	93.7	zarakki08
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	4	0	0	0	0	0.9	0.7	64.5	19.4	sux_to_be_second
4	0	0	0	    	1.0	3.0	    	    	    	    	    	    	    	0	0	0	0	1	0	0	0.7	0.5	64.2	28.0	vashzaron
4	0	0	0	    	    	1.0	    	    	    	    	    	    	    	0	0	3	0	2	0	0	0.7	0.5	28.1	16.4	epicpip
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	1	3	0	0	0	0	0.7	0.5	13.2	10.4	fareazt21
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	4	0	0	0	0	0.9	0.7	58.7	21.3	pascoal27
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	2	2	0	2	0	0	0.6	0.4	42.8	47.3	biopotic
4	0	0	0	    	1.0	2.0	    	1.0	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.3	96.1	75.5	staklet
4	0	0	0	1.0	1.0	    	    	    	    	    	    	    	    	0	0	2	0	1	0	0	0.5	0.3	24.0	10.4	swabba3000
4	1	1	1	    	1.0	1.0	    	1.0	1.0	    	    	    	    	0	0	0	0	0	0	0	0.4	0.2	3.3	1.3	charizard1234567890
4	0	0	0	0.5	    	    	    	    	1.5	    	    	    	    	0	1	1	0	0	0	0	0.5	0.3	328.0	391.9	iriomote14
4	0	0	0	    	1.0	    	1.0	    	    	1.0	    	    	    	0	1	0	0	0	0	0	0.4	0.2	81.6	30.1	mekkkah
4	0	0	0	    	    	    	    	    	1.0	    	    	    	    	0	3	0	0	0	0	0	0.7	0.5	66.1	38.8	edmundj
4	0	0	0	    	2.0	    	    	    	    	    	    	    	    	0	0	2	2	14	0	0	0.8	0.4	43.5	29.7	bauglirmorgoth
4	0	0	0	    	    	    	1.0	    	1.0	    	    	    	    	0	0	2	0	0	0	0	0.5	0.3	61.8	55.4	yolomar9000
4	0	0	0	    	    	    	    	0.5	1.0	1.5	1.0	    	    	0	0	0	0	2	0	0	0.5	0.3	35.0	15.8	pillow_ninja
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	4	0	1	0	0	0.9	0.7	59.2	47.9	majere616
4	1	1	0	    	    	    	1.0	    	    	    	    	    	    	0	0	3	0	5	2	0	0.7	0.5	11.6	8.8	weeklyn00b
4	0	0	0	2.5	    	0.5	    	    	1.0	    	    	    	    	0	0	0	0	0	0	0	0.6	0.4	16.1	8.8	masterpokester
4	0	0	2	    	    	    	    	    	    	3.0	    	    	    	0	1	0	0	2	0	0	0.7	0.5	66.5	68.8	dragonsiren
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	4	0	0	0	0	0.9	0.7	50.6	26.7	our_lord_gaben
4	0	0	0	    	    	    	    	    	    	2.0	    	    	    	0	1	1	0	0	0	0	0.5	0.3	34.0	13.0	deviluke0
4	0	0	2	1.0	1.0	2.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.3	56.9	27.2	potatolover2k14
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	4	0	1	0	0	0.9	0.7	15.8	14.2	furrfection
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	1	3	0	0	0	0	0.7	0.5	277.4	316.3	unbalanced531
4	0	0	0	    	1.0	    	    	    	    	    	    	    	    	0	3	0	0	1	0	0	0.7	0.5	229.4	335.0	rubb_a_dubb
4	0	0	0	    	    	    	1.0	    	1.0	    	    	    	    	0	2	0	0	0	0	0	0.5	0.3	53.2	47.1	logicaldemoness
4	0	0	0	1.0	    	1.0	1.0	    	1.0	    	    	    	    	0	0	0	0	47	0	0	0.4	0.2	69.5	127.3	lyzak
4	0	0	0	    	    	2.0	    	    	    	    	    	    	    	0	1	1	0	5	0	0	0.5	0.3	87.1	97.6	allanhasagarchomp
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	4	0	0	2	0	0	0.9	0.7	77.1	61.9	lordwailord
4	0	1	0	    	1.0	    	    	    	    	2.0	    	    	    	1	0	0	0	8	0	0	0.5	0.3	121.6	300.0	xarxax
4	1	1	0	1.0	    	    	    	1.0	    	    	    	    	    	0	0	2	2	1	0	0	0.7	0.3	21.3	8.3	egsolis
4	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	3	0	0	0	0	0.7	0.5	46.4	2.4	2ty15
4	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	4	0	1	0	0	0.9	0.7	33.5	19.4	bensixteen
4	0	0	0	1.0	    	2.0	    	1.0	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.3	10.1	4.9	tamanegisenshi
4	0	0	0	    	2.0	1.0	1.0	    	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.3	111.6	77.7	ninijatt
4	0	0	0	    	2.0	    	    	1.0	    	1.0	    	    	    	0	0	0	0	0	0	0	0.5	0.3	329.9	327.7	pigi5
4	0	0	0	    	    	    	2.0	    	2.0	    	    	    	    	0	0	0	0	1	0	0	0.6	0.4	32.5	34.2	insanityraptor
3	0	0	0	    	    	    	    	1.5	    	1.5	    	    	    	0	0	0	0	0	0	0	0.5	0.3	69.7	8.7	tertilla
3	0	0	0	    	    	    	    	0.5	1.0	0.5	    	    	    	0	1	0	0	0	0	0	0.3	0.1	298.5	41.1	k00jay
3	0	0	0	    	2.0	    	    	    	    	    	    	    	    	0	0	1	0	0	0	0	0.5	0.3	53.4	31.4	chrisamador
3	0	0	0	    	    	1.0	    	    	1.0	    	    	    	    	0	1	0	0	1	0	0	0.4	0.2	90.8	88.8	rambso
3	0	0	0	    	    	    	    	    	1.0	    	    	    	    	0	0	2	0	0	0	0	0.5	0.3	32.1	1.9	heywhynotc
3	0	0	0	    	1.0	2.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.3	46.1	14.9	jamacam123
3	0	0	0	    	    	1.0	    	    	    	1.0	    	    	    	0	1	0	0	3	0	0	0.4	0.2	123.2	130.8	geraxddd
3	0	0	0	0.3	    	    	0.8	    	0.8	    	    	    	    	0	0	1	0	0	0	0	0.3	0.1	17.9	4.2	heavenlyspoon
3	2	2	2	    	    	    	    	    	    	    	    	    	    	0	0	3	0	0	0	0	0.7	0.5	3.5	1.0	irensnl
3	0	0	0	0.5	    	    	    	1.0	0.5	    	    	    	    	0	0	1	0	0	0	0	0.3	0.1	61.1	52.6	zachw1791
3	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	3	0	1	0	0	0.7	0.5	41.5	44.9	exaggerated_bum
3	0	0	0	    	    	1.0	1.0	    	1.0	    	    	    	    	0	0	0	0	0	0	0	0.4	0.2	641.5	231.9	miss_kaguya
3	1	1	1	1.0	    	1.0	    	1.0	    	    	    	    	    	0	0	0	0	1	0	0	0.4	0.2	20.0	6.4	demonslayer462
3	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	3	0	1	0	0	0.7	0.5	77.2	38.0	torchiere
3	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	3	0	0	0	0	0.7	0.5	10.3	7.4	boggart_knight
3	0	0	0	1.0	    	1.0	    	    	    	    	    	    	    	0	1	0	0	1	0	0	0.4	0.2	295.7	340.9	jack_mac_
3	0	0	0	    	1.0	2.0	    	    	    	    	    	    	    	0	0	0	0	0	0	2	0.5	0.3	34.3	26.7	iamtheholycow
3	0	0	0	1.0	    	2.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.3	33.6	15.3	yhotkeys
3	0	0	0	1.0	1.0	    	1.0	    	    	    	    	    	    	0	0	0	0	0	0	0	0.4	0.2	72.4	23.1	kolarin
3	0	0	0	    	1.0	    	    	    	1.0	    	    	    	    	0	1	0	0	0	0	0	0.4	0.2	317.6	288.9	guardenful
3	0	0	0	    	    	    	    	    	1.0	    	    	    	    	0	1	1	0	1	0	0	0.4	0.2	175.2	212.1	confusedsenel
3	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	3	0	0	0	0	0.7	0.5	83.8	1.3	delgothedwarf
3	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	3	0	1	0	0	0.7	0.5	105.6	26.0	jmoney8130
3	0	0	0	    	    	1.0	    	    	    	    	    	    	    	0	2	0	0	0	0	0	0.5	0.3	399.7	310.1	jirachi385
3	0	0	0	    	    	2.0	    	1.0	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.3	42.6	5.3	generalnguyen_ger
3	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	3	0	4	0	0	0.7	0.5	34.8	23.7	supershadow885
3	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	2	0	0	0	0	0.5	0.3	91.6	14.7	cold_as_the_fridge
3	0	0	0	1.0	1.0	    	    	    	    	1.0	    	    	    	0	0	0	0	0	0	0	0.4	0.2	51.3	15.8	scoxyown
3	0	0	0	1.0	    	    	    	    	    	    	    	    	    	0	2	0	0	0	0	0	0.5	0.3	23.5	9.6	ambrosiac
3	1	1	1	    	    	    	    	    	3.0	    	    	    	    	0	0	0	0	1	0	0	0.7	0.5	17.5	11.2	henry_mikijuk
3	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	3	0	2	0	0	0.7	0.5	24.5	20.2	everyle
3	0	0	0	    	1.0	    	    	0.7	0.7	    	1.0	    	0.7	0	0	0	0	3	0	0	0.4	0.2	240.6	222.7	purzel21
3	0	0	0	    	    	    	    	    	    	1.0	    	    	    	0	0	2	0	0	0	0	0.5	0.3	226.4	186.3	tuckerscreator
3	0	0	0	    	    	2.0	    	    	    	    	    	    	    	0	0	1	0	1	0	0	0.5	0.3	206.8	260.1	dingodude6
3	0	0	0	    	    	    	    	    	    	    	    	    	    	0	3	0	0	0	0	0	0.7	0.5	83.0	2.4	mightyputty20
3	0	0	0	    	    	    	1.0	    	    	2.0	    	    	    	0	0	0	0	0	0	0	0.5	0.3	52.7	18.6	spaghetti_lord
3	0	0	0	1.0	    	1.0	    	    	    	    	    	    	    	1	0	0	0	0	0	0	0.4	0.2	525.2	506.0	deeevee8
3	1	1	1	    	1.0	2.0	    	    	    	    	    	    	    	0	0	0	0	1	0	0	0.5	0.3	17.8	10.7	procarnage
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	screefour71
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	laughelsati4
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	koolutenti4
2	0	0	0	    	1.0	    	    	    	    	    	    	    	    	0	1	0	0	4	0	0	0.3	0.2	0.0	0.0	synesterxlight
2	0	0	0	    	    	2.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.4	0.0	0.0	porkayelol
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	noursoft019
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	chanceript
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	alerteque524
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	griffonce91
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	eatsyoucake4
2	0	0	0	    	    	    	    	    	    	    	    	    	    	1	0	1	0	0	0	0	0.3	0.2	0.0	0.0	the_ruffle
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	cakemaposs2
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	chromegetwaka8
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	nightunol276
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	liverlesso7
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	mentekno62
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	kissezlucy591
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	lucyphouse86
2	0	0	0	    	    	    	    	    	    	    	    	    	    	0	2	0	0	0	0	0	0.5	0.4	0.0	0.0	smugfug
2	0	0	0	    	    	    	    	    	1.0	    	    	    	    	0	1	0	0	0	0	0	0.3	0.2	0.0	0.0	mtandrei
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	hondavamp6
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	leucoelly080
2	0	0	0	    	    	1.5	    	    	0.5	    	    	    	    	0	0	0	0	0	0	0	0.4	0.3	0.0	0.0	shotgun9922
2	0	0	0	    	1.0	    	1.0	    	    	    	    	    	    	0	0	0	0	10	0	0	0.3	0.2	0.0	0.0	manamari
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	chikkaosol8
2	0	0	0	    	    	    	    	    	2.0	    	    	    	    	0	0	0	0	0	0	0	0.5	0.4	0.0	0.0	msomebody
2	0	0	0	    	1.0	1.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.3	0.2	0.0	0.0	kaptainfalkon
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	bloggertara764
2	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	2	15	21	0	0	3.5	2.5	0.0	0.0	fabicoq
2	0	0	0	    	    	1.0	    	    	    	    	    	    	    	0	1	0	0	0	0	0	0.3	0.2	0.0	0.0	edd993
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	kentrosaway5
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	gentistep120
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	bornsun0
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	shatfluent10
2	0	0	0	    	1.0	1.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.3	0.2	0.0	0.0	j_kiki_l
2	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	2	0	0	0	0	0.5	0.4	0.0	0.0	firefooooot111
2	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	2	0	1	0	0	0.5	0.4	0.0	0.0	a_slow_snail
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	slayreduc7
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	cmanzent8
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	bizarreauge
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	janewide45
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	kurisufox01
2	0	0	0	    	2.0	    	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.4	0.0	0.0	warib0
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	dipityreet95
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	hackinp1
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	foxhomeri9
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	shinybyte17
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	altumrove0
2	0	0	0	1.0	    	    	    	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	masterofthecourt
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	leonxoxomajere595
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	choseneson1
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	gnomedicr
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	razukeerab00
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	sparketer4
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	maderseric09
2	0	0	0	    	    	2.0	    	    	    	    	    	    	    	0	0	0	0	1	0	0	0.5	0.4	0.0	0.0	huxley916
2	0	0	0	    	1.0	    	    	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	thatgoffsound
2	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	2	0	0	0	0	0.5	0.4	0.0	0.0	zolan007
2	0	0	0	2.0	    	    	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.4	0.0	0.0	mikarumenoko
2	0	0	0	    	1.0	    	1.0	    	    	    	    	    	    	0	0	0	0	0	0	0	0.3	0.2	0.0	0.0	r_s_jeklan
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	kanovoxx931
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	finisoft46
2	0	0	0	0.5	    	    	0.5	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	johnny_rx
2	0	0	0	    	    	    	1.0	    	1.0	    	    	    	    	0	0	0	0	0	0	0	0.3	0.2	0.0	0.0	generalothello
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	braceslayrthief394
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	iancountryheadline29
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	edgybeast31
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	pierceleme1
2	0	0	0	    	    	1.5	    	0.5	    	    	    	    	    	0	0	0	0	1	0	0	0.4	0.3	0.0	0.0	tiakin
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	bubblejrvamp53
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	ninjalink8
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	motumberm09
2	0	0	0	    	    	1.0	    	    	1.0	    	    	    	    	0	0	0	0	0	0	0	0.3	0.2	0.0	0.0	twjn
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	funnyelec9
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	sillyweslie
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	grundythinstacey3
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	euroster952
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	fraserphoenix
2	0	0	0	    	    	1.0	    	1.0	    	    	    	    	    	0	0	0	0	1	0	0	0.3	0.2	0.0	0.0	strograwia
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	chatikason
2	0	0	0	    	    	2.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.4	0.0	0.0	krabklawking
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	annonmilk68
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	labsonicom554
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	airdelat2
2	0	0	0	    	    	    	    	    	1.0	    	    	    	    	0	1	0	0	0	0	0	0.3	0.2	0.0	0.0	rungusamungus
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	doomosfing230
2	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	2	0	0	0	0	0.5	0.4	0.0	0.0	ultimatechimera3
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	communique05
2	0	0	0	    	    	1.0	    	    	    	    	    	    	    	0	1	0	0	1	0	0	0.3	0.2	0.0	0.0	sailormooo
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	adwolfe99
2	0	0	0	    	2.0	    	    	    	    	    	    	    	    	0	0	0	0	0	0	0	0.5	0.4	0.0	0.0	digestif
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	aquaticvivala934
2	0	0	0	    	    	    	    	    	1.0	    	    	    	    	0	1	0	0	0	0	0	0.3	0.2	0.0	0.0	passiveengie
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	pluspop77
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	penguinetti26
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	chelset6
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	saberyoga76
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	billscaryhigh
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	jadencelati0
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	blazegree
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	conslead67
2	0	0	0	    	    	1.0	1.0	    	    	    	    	    	    	0	0	0	0	0	0	0	0.3	0.2	0.0	0.0	zirknessmonster
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	believerapo286
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	gomc5
2	0	0	0	    	    	    	1.0	    	    	    	    	    	    	0	0	1	0	0	0	0	0.3	0.2	0.0	0.0	primoette
